Back,Quay lại
"Delete Block","Xóa Block"
"Are you sure you want to do this?","Bạn có chắc chắn không?"
Save,Lưu
"Order Status","Trạng thái đơn hàng"
Message,Tin nhắn
"Add Message","Thêm tin nhắn"
"Payment Method","Phương thức thanh toán"
Resend,Gửi lại
"SMS Notifications","SMS Notifications"
"Please enter your mobile number.","Xin vui lòng nhập vào số điện thoại."
"The otp is not valid.","Mã OTP không hợp lệ."
"The mobile number is updated.","Số điện thoại đã được cập nhật."
"Sms Notification","Sms Notification"
"You deleted the rule.","Bạn đã xóa quy tắc."
"We can't find a rule to delete.","Quy tắc không tồn tại."
"This rule no longer exists.","uy tắc không tồn tại."
"Edit Rule","Sửa quy tắc"
"New Rule","Thêm quy tắc"
Rules,Rules
"Edit Rule #%1","Sửa quy tắc #%1"
"Sms Nofitication","Sms Nofitication"
"Block List","Danh sách số ĐT bị block"
"A total of %1 record(s) have been deleted.","%1 bản ghi đã bị xóa."
"You saved the rule.","Quy tắc đã được lưu."
"Something went wrong while saving the block.","Có lỗi xảy ra khi lưu dữ liệu"
Log,Log
"You are sending OTP too much times.","Bạn đã yêu cầu gửi OTP quá nhiều lần."
"The OTP code is not valid.","Mã OTP không hợp lệ."
"The OTP code is expired.","Mã OTP hết hạn."
"The mobile number is used by another customer account.","Số điện thoại đã được sử dụng."
"You are using this mobile number already.","Bạn đã thêm số điện thoại này."
"The mobile number is not associated to any customer account.","Không có tài khoản nào phù hợp với số điện thoại này."
"Your sms gateway model is not valid","Cổng SMS không hợp lệ"
"Your sms gateway config is not valid or not setup correctly.","Cổng SMS của bạn không hợp lệ hoặc không được cài đặt chính xác."
"The mobile number %1 is blocked by rule #%2","Số điện thoại %1 đã bị blocked RULE#%2"
"Sms message is not sent: ""%1""","Tin SMS không gửi được: ""%1"""
"Each status can only appear once.","Mỗi trạng thái chỉ sử dụng 1 lần."
"Message for payment method %1 is duplicated.","Tin nhắn cho cổng thanh toán %1 bị trùng lặp."
Alphanumeric,Chữ cái và số
Alphabetical,Chữ cái
Numeric,Số
"--Auto detected by customer IP--","--Tự động nhận diện IP khách hàng--"
"Class %1 does not exist","Class %1 does not exist"
Failed,Không thành công
Pending,Đang chờ
Sent,Đã gửi
Delivered,Đã nhận
Undelivered,Không nhận được
"Failed (not enough credit)","Không thành công (không đủ tiền trong tài khoản)"
Edit,Sửa
"Notify Customer by SMS","Thông báo cho khách hàng qua tin nhắn SMS"
"* Required Fields","* Trường bắt buộc"
Settings,Cấu hình
"Go back","Quay lại"
"Click to the button below to verify your phone number","Nhấp chuột vào nút dưới đây để xác minh số điện thoại của bạn"
"Get OTP","Nhận mã OTP"
"A text message with a %1-digit verification code has been sent to","Mã OTP với %1 ký tự đã được gửi đến"
"Your OTP","Mã OTP của bạn"
Verify,Xác nhận
"Resend after %1 seconds","Gửi lại sau %1 giây"
"The mobile number is not valid.","Số điện thoại không hợp lệ."
"Please enter your email address below to receive a password reset link.","Xin vui lòng nhập email của bạn vào để lấy lại mật khẩu"
Email,Email
or,hoặc
Mobile,Số điện thoại
"Reset My Password","Đổi lại mật khẩu"
"A text message with a %1-digit verification code has been sent to your phone number!","Mã OTP với %1 ký tự đã được gửi đến số điện thoại của bạn!"
"Verify Error","Lỗi xác minh"
"Resend OTP","Gửi lại OTP"
"Send Otp","Gửi mã OTP"
"This is required field.","Trường này là bắt buộc."
Error,Lỗi
"Please enter a valid mobile number!","Xin vui lòng nhập vào số điện thoại hợp lệ!"
"Verify Your Mobile Number","Xác minh số điện thoại của bạn"
"Mobile Number","Số điện thoại"
"Your mobile number is not verified.","Số điện thoại của bạn chưa được xác minh."
"Please verify your phone number first.","Xin vui lòng xác minh số điện thoại của bạn trước."
"Resend (%1)","Gửi lại (%1)"
"SMS Notification","SMS Notification"
"SMS Logs","SMS Logs"
Configuration,Cấu hình
"SMS Gateway Settings","Cấu hình cổng SMS"
"SMS Gateway","Cổng SMS"
"Admin Telephone","SĐT admin"
"Duplicated Mobile Number","Trùng lặp số điện thoại"
"Login Using Mobile Number","Đăng nhập sử dụng SĐT"
"Verify Customer Mobile Number","Xác minh số điện thoại khác hàng"
Enabled,Kích hoạt
"Verify Mobile Number at Registration Form","Xác minh số điện thoại ở form đăng ký"
"Verify Customer Address Mobile Number","Xác minh số điện thoại ở địa chỉ khách hàng"
"OTP Configuration","Cấu hình OTP"
"OTP Format","Định dạng mã OTP"
"OTP Length","Kích thước mã OTP"
"OTP message","Tin nhắn OTP"
"Use {{var otp_code}} to add the otp code to sms message.","Sử dụng {{var otp_code}} để thêm mã OTP vào tin nhắn SMS."
"OTP expired after (seconds)","OTP hết hạn sau (giây)"
"After the OTP is sent, it will be expired after this period time","Sau khi mã OTP được gửi, nó sẽ bị hết hạn sau khoảng thời gian này nếu không được sử dụng"
"Allow customer resends OTP after (seconds)","Cho phép khách hàng gửi lại mã OTP sau (giây)"
"If customer don't get OTP he can resend the sms after this period time.","Nếu khách hàng không nhận được mã OTP, họ có thể gửi lại mã otp sau khoảng thời gian này."
"Max times of resending OTP","Số lần cho phép gửi lại mã OTP"
"The number of times you allow customer to resend OTP.","Số lần mà bạn cho phép khách hàng click gửi lại mã OTP."
"OTP block times (seconds)","Thời gian BLOCK mã OTP (giây)"
"After the number resend OTP greater than max time of resending OTP, Customer will be blocked in this period time for sending OTP.","Sau khi số lần gửi lại mã OTP lớn hơn số lần cho phép gửi, khách hàng sẽ phải chờ khoảng thời gian này để có thể tiếp tục gửi OTP."
"Mobile Input Settings","Cấu hình ô nhập SĐT"
"Allow Country Dropdown","Cho phép chọn quốc gia"
"If this option is set to ""No"", The flag will not be clickable.","Nếu chọn không, khách hàng sẽ không thể chọn quốc gia."
"Initial Country","Quốc gia mặc định"
"The initial country will be selected in default.","Quốc gia mặc định sẽ được chọn tự động khi trang web được tải."
"MaxMind GeoIP Database","MaxMind GeoIP Database"
"Allowed Countries","Các quốc gia được cho phép"
"Specific Countries","Chọn quốc gia"
"Preferred Countries","Preferred Countries"
"Send SMS to Admin when","Gửi sms cho admin khi"
"A customer registers an account","Có khách hàng đăng ký tài khoản mới"
"If this option is set to ""Yes"", A sms will be sent to admin when a customer account is created.","Admin sẽ nhận được tin nhắn SMS khi có khách hàng mưới đăng ký tài khoản."
"A new order is placed","Có đơn hàng mới"
"If this option is set to ""Yes"", A sms will be sent to admin when a customer places a new order.","Admin sẽ nhận được SMS khi có khách hàng đặt hàng."
"A customer contact to us","Khách hàng gửi form liên hệ"
"If this option is set to ""Yes"", A sms will be sent to admin when a customer submit contact form.","Admin sẽ nhận được SMS khi có khách hàng gửi form liên hệ."
"Customer review a product","Khách hàng gửi đánh giá"
"If this option is set to ""Yes"", A sms will be sent to admin when customer review a product.","Admin sẽ nhận được SMS khi có khách hàng gửi đánh giá cho một sản phẩm."
"Send SMS to Customer when","Gửi SMS cho khách hàng khi"
"Mobile Number Priority","Mức độ ưu tiên SĐT"
"Customer Mobile Number","Số điện thoại của khách hàng"
"The number that customer enter at the registration form.","Số điệnt thoại mà khách hàng nhập vào lúc đăng ký."
"Order Billing Address","Địa chỉ mua hàng"
"The number that customer enter at the billing address.","Số ĐT khách hàng nhập vào địa chỉ mua hàng."
"Order Shipping Address","Địa chỉ nhận hàng"
"The number that customer enter at the shipping address.","Số điện thoại khách hàng nhập vào địa chỉ nhận hàng."
"He registers a new account","Khách hàng đăng ký tài khoản mới"
"If this option is set to ""Yes"", A sms will be sent to customer when he creates an account.","Khách hàng sẽ nhận được SMS khi đăng ký tài khoản mới."
"He places a new order","Mua sản phẩm"
"If this option is set to ""Yes"", A sms will be sent to customer when he places a new order.","Khách hàng sẽ nhận được SMS khi mua sản phẩm."
"Message By Payment Method","Tin nhắn theo cổng thanh toán"
"Order status is changed","Trạng thái đơn hàng thay đổi"
"If this option is set to ""Yes"", A sms will be sent to customer when status of an order is changed.","Khách hàng sẽ nhận được SMS khi trạng thái đơn hàng thay đổi."
Messages,Tin nhắn
"New invoice is created","Hóa đơn được tạo"
"If this option is set to ""Yes"", A sms will be sent to admin when invoice is created.","Tin nhắn sẽ gửi cho khách hàng khi hóa đơn được tạo."
"New shipment is created","Phiếu vận chuyển được tạo"
"New credit memo is created","Phiếu trả hàng được tạo"
"General Information","Thông tin cơ bản"
Rule,Luật
Note,Ghi chú
"Add New Rule","Thêm luật mới"
"Delete rule","Xóa luật"
"Delete selected rules?","Bạn có chắc chắn muốn xóa các luật được chọn?"
Delete,Xóa
ID#,Mã#
"Message Id","Message Id"
"Reference Id","Reference Id"
Gateway,Cổng
Status,Trạng thái
"Created At","Ngày tạo"
